id,id_swiped,action
4599928,8581912,right
4599928,58702406,right
4599928,170077424,left
4599928,216608106,right
4599928,240127988,right
4599928,175801520,left
4599928,19212420,right
4599928,176473856,right
4599928,135251871,left
4599928,301174090,right
4599928,222163047,left
4599928,73287002,left
4599928,37606480,right
4599928,225466524,left
4599928,31023996,right
4599928,101632105,left
4599928,197822122,right
4599928,155886504,left
4599928,138860342,right
4599928,461287784,left
4599928,70792773,right
4599928,136211635,left
4599928,169698283,right
4599928,168550320,left
4599928,69183341,right
4599928,23141612,right
4599928,9310789,right
4599928,21527693,left
4599928,137935648,left
4599928,164550526,left
4599928,174839832,right
4599928,197692288,left
4599928,266516612,left
4599928,63227226,right
4599928,70116475,left
4599928,354250423,right
4599928,152134139,right
4599928,328927633,right
4599928,51481336,left
4599928,156166512,right
4599928,362942978,left
4599928,174459462,right
4599928,247289716,left
4599928,33807239,right
4599928,134751924,left
4599928,85294985,right
4599928,16093033,left
4599928,85003519,right
4599928,158056233,left
